key,charge,Nheavy,Nrot,lcse_aimnet,mmff_sp,mmff_reopt,gaff_vac_sp,gaff_vac_reopt,gaff_obc2_sp,gaff_obc2_reopt
LQY_5G2B_B_1003,0,39,8,3.340274626275895,-0.5852639064661673,5.074958583255338,2.7644334678575717,6.31159803347137,2.2199295913721464,5.988548134114129
4OG_4ZIB_A_512,0,15,3,1.8588131583297942,6.568109146306885,10.218477567944008,2.027129136189231,2.2179335931638846,-1.4439658915012923,1.3942940597187983
WDR_3SVF_A_1,0,23,4,0.7394031699930881,0.4933828805238889,6.209415961869524,0.43721488760869676,2.2516871391863447,-0.08259728803564315,1.6323673007392188
FQD_6D20_A_801,0,17,1,0.177387932160183,0.5325134955163477,0.8130835606615037,1.2602669272705356,1.0648869923661266,1.5385814280327423,1.4520482779773403
CT3_4YHG_A_401,0,34,7,0.51507159375973,-6.525698386136526,13.098346730216749,-8.926207867483242,24.201909299584287,1.3549177240361416,11.335462920079507
UNQ_3R04_A_555,0,26,4,1.581923706946736,-2.1147028128351337,7.674898090979539,0.46602178354800117,1.4771187317614647,2.3407431023447707,0.26646027412439777
STL_3CKL_B_501,0,17,2,0.759959257628106,0.3901284799168447,1.5716409687425337,1.9480565927366627,2.1939335227114825,0.2603687977613731,0.41572926580262504
EMZ_6G5Q_B_402,0,13,2,2.567062100455985,5.111738028986792,9.096737445494483,8.220137463764353,11.39890204921496,2.938136451266182,4.907994689689518
B2K_3B25_A_1,0,18,2,1.380471777839786,0.9505525568952268,1.999957407236084,-0.037256671126087326,-0.01812056122400918,-0.22100082959846645,0.25291113353317485
591_3S7L_A_1,0,27,4,1.4210798712966541,-0.4910949799429787,5.231153567470349,-1.1755741831499904,1.7321551114559384,0.23274263511717663,0.8125370499151927
60U_5HDX_B_501,1,30,4,2.112446441306446,-5.9457906932449305,5.137730477495126,0.21153330723268482,-0.17795618726188422,1.4017637187474747,0.9930346074453951
3LN_4RCE_A_501,1,31,4,2.5240516582395838,4.58726613549738,4.7915851687662965,3.60950258884543,4.170050445465961,2.15796066854071,3.285940221997379
M35_3M35_A_301,1,37,8,10.275553480093786,20.1448366979964,39.57899125105519,19.026345532977707,31.01963064971539,4.084874427668041,10.301079301877621
C09_3W3J_B_901,1,18,3,0.979186826797358,6.263152742947483,7.4418718482388755,3.9501864766439,4.05895399323882,0.7433376526709843,1.0727937521557998
XK0_4BEK_A_1447,1,16,2,0.751286065363292,-0.2108720013289513,0.7546132795236389,-0.2729262280083624,1.1848724599308271,-0.6607389802743455,-0.7674243446675675
EHE_6G27_A_401,1,20,2,0.34856830091954505,-0.4166657862517269,0.8869519873429326,-0.8406159199356011,0.7098312095690318,-0.33241856817254956,0.4070218798249776
0B5_5YGX_A_509,1,32,7,0.6366584669788651,-0.2447864448859888,0.517668361920137,0.07584459017829204,1.2856882941066168,1.3832112014718483,1.3913896499184233
45N_6GTU_A_302,1,16,3,0.178407520970552,-0.3671601033920062,0.0277021006069304,0.3048199579915547,-0.003984485741426624,0.3805989032890693,0.0006590262737375951
4VU_5BW2_B_301,1,14,1,0.29828136579401804,0.1687693001539472,0.2964729858570649,-0.618418697895514,0.00210802479636385,-0.7447773938149505,0.0010266407461161364
CCW_5AGL_A_800,1,16,7,10.187043895918142,52.76032108723914,57.35521364226128,41.7276213288507,45.82458071494371,5.694518793284573,6.7660347382479245
KDO_3DUV_B_263,-1,16,3,2.917108165376785,10.867554201906614,11.78518727728948,14.604614448515477,16.40059754049959,2.867933708341887,4.6865298020353094
ENO_3GAC_E_122,-1,13,3,2.260762461651186,-5.692804319331941,0.7849619466726239,-2.3608876128293304,2.1584320935146195,-1.9520988651854587,-0.052498539035155334
BT5_2DEQ_B_1301,-1,38,11,10.782654200817442,23.66115185605084,36.77056842470415,33.946386007074324,31.821061643805564,12.735632179194454,9.376180063892662
35G_5BV6_A_501,-1,23,1,0.332792095100137,-4.543926999380872,-2.367405929358867,-1.7698207023477721,2.226808922964466,0.6925243853962684,2.105320867966924
CMP_4AVB_A_400,-1,22,1,0.792744319439425,0.3513156632726648,2.4009882814843166,0.014789293865391073,2.604891571406881,-0.044043190116866526,1.2602132882428805
DRS_3BXS_A_201,-1,26,2,1.5154748150861521,2.005670956889986,2.345112202404138,2.7557040392931285,1.0383700468813668,1.4814893299338792,1.9515983264630279
FU9_3R0T_A_338,-1,32,6,0.35208953768649004,-0.1626590339349647,0.0278066923982969,-0.19180379528117442,0.10957961845655007,-0.37561187657485107,-0.013093292493721265
ID8_4JQA_A_401,-1,18,3,0.7126033492667071,0.7066878754501573,4.94004977954593,0.3669106495208716,0.10710362146032537,-0.10540711719785634,0.04917359112803865
FOL_4QLE_A_201,-1,32,10,4.830801882867761,11.9463652877661,28.120277312990996,10.130617934470287,1.7362749305518843,3.660366051825065,3.148870755615519
2T2_4OK5_A_1003,-1,22,4,2.7663909553274397,1.0507669071474766,4.825796183268906,-0.750820036298407,7.327855023985856,-0.8840261672583054,0.8797505820270217
2DT_1NN3_A_301,-2,20,4,1.9123692886022852,5.327556812941822,6.8323862310292895,10.39962100738046,12.461778118198168,-2.5155244074386474,0.09362511174981591
R1P_3QPB_O_1254,-2,14,3,3.730203748533206,22.054147921684184,28.60398384988963,27.529942410172183,32.785776011018044,18.607652191181728,16.575896111857617
FMN_3AD7_B_406,-2,31,7,11.145712471478742,28.93920317245696,47.52607649368389,27.021393724774832,32.79819930483259,8.054099485706814,10.882156778608476
AMP_2UV6_A_1324,-2,23,4,8.912818391593062,24.129693468744836,31.69400351890038,33.9800892531011,33.49117366892651,9.59553031720884,11.042932031277644
M1P_6GH3_B_1002,-2,16,3,7.843387338172079,17.394958168092757,24.60674680004741,25.860304846650816,24.95170778822652,3.4938531781921256,3.907438290978604
FMN_2V5U_B_1170,-2,31,7,12.07256278656635,33.22189764519472,36.36778558215852,46.98343211475394,48.6405705278296,9.408085504264648,9.995314436205376
5GP_1GKY_A_187,-2,24,4,13.581698543980105,47.57630604978408,51.89482230856214,61.511930511769734,70.57147946035815,12.223200369822564,9.155228969173208
IMP_4MZ8_A_501,-2,23,4,10.428567888072672,41.52456519194154,42.986046704788166,11.803604174518469,15.712665387042087,2.6554827744179335,6.672257526043069
FMN_1USF_B_1179,-2,31,7,12.565620773163953,35.06010167264615,38.27455022951066,48.923758710670285,52.80561082856363,8.43567690708133,9.499565850972886
TMP_5XB3_B_202,-2,21,4,9.219483052799994,13.010466176302684,14.547586776017283,20.543493147179504,26.01434454516678,11.691644864476018,13.215211193241032
FFO_1WOP_A_2887,-3,34,11,5.267261618009025,27.80142918042532,5.266907081433942,22.842360687762675,3.8485021567993414,3.278915738026285,3.8523716517000253
8GD_5GGB_A_401,-3,28,6,7.6952145804978915,16.015082978998123,18.049487278320758,19.165246785687202,24.128881897711437,9.94809276383694,3.214106120755673
PFU_3SEC_A_2000,-3,22,5,7.365670117785596,20.210448294690067,21.584702460896647,31.48579049036057,24.620530169345518,12.178059559006385,11.358936591192219
UDP_6BK2_A_501,-3,25,6,14.575088648457406,31.47675383751431,32.18543855510575,38.71088346002992,40.55613059545513,16.404266194338106,11.784027826188776
GDP_4KV9_A_500,-3,28,6,11.897172801289166,40.50984846078907,41.312985609675394,36.30021297555187,43.012172037973016,11.98813066072762,10.829936532660213
ACP_3A1C_B_997,-3,31,8,19.4059580263175,62.42321949155611,89.60273273447851,95.73208859655597,65.19816253413438,39.41522248139654,27.05176708548413
GDP_3A1T_A_1,-3,28,6,13.501450337363385,30.87268589733753,52.58302226783715,23.606021324227385,24.7170218086693,11.30693923213471,6.424864436686562
UGA_2QG4_F_501,-3,37,9,12.139321436944538,39.84811288935385,63.541764938287336,55.22496523967774,48.70634607711415,30.330315242516576,25.689030651178314
ADP_1LVG_A_1201,-3,27,6,12.56580744257356,38.50441680304347,61.78101671941457,32.27717332415406,40.527912704665454,10.699600587414466,8.927454155974488
GDP_2G3Y_A_1001,-3,28,6,13.417809660081257,33.13008364994083,54.83879920524686,24.00452004198742,27.9585300788371,16.247670864896122,11.411731650132879
